TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CLAIM_STATUS,INCIDENT_SEVERITY,RISK_SEGMENTATION,CUSTOMER_STATE,INCIDENT_STATE,INCIDENT_CITY,AGE,EMPLOYMENT_STATUS,AGENT_ID,AGENT_NAME,AGENT_CITY,AGENT_STATE,VENDOR_ID,VENDOR_NAME,VENDOR_CITY,VENDOR_STATE
2020-06-01 00:00:00,TXN00000011,A00007952,PLC00003007,2019-03-30,2020-05-20,2020-05-25,Life,61.45,92000,A,Major Loss,M,CT,MD,Crofton,59,Y,AGENT01091,Joshua Losey,Montgomery,AL,VNDR00163,Foster-Sanchez,Fremont,CA
2020-06-01 00:00:00,TXN00000012,A00006313,PLC00002139,2016-07-22,2020-05-21,2020-05-26,Motor,101.15,8000,D,Major Loss,H,TN,CT,Manchester,42,Y,AGENT00288,Michael Fowler,Guthrie,OK,,,,
2020-06-01 00:00:00,TXN00000013,A00003693,PLC00007839,2019-06-12,2020-05-24,2020-05-27,Health,157.95,11000,A,Major Loss,M,AK,KY,Louisville,57,Y,AGENT00015,Charles George,Noble,OK,VNDR00191,Armstrong-Ramirez,Manchester,CT
2020-06-01 00:00:00,TXN00000014,A00007988,PLC00002521,2020-01-29,2020-05-18,2020-05-23,Life,64.16,51000,A,Total Loss,L,GA,AK,Anchorage,31,Y,AGENT01094,Robert Venable,Saint Albans City,VT,,,,
2020-06-01 00:00:00,TXN00000015,A00005617,PLC00007011,2015-06-08,2020-05-20,2020-05-25,Mobile,6.76,700,A,Major Loss,L,AR,CO,Arvada,55,Y,AGENT00324,Barbara Hernandez,Panama City,FL,VNDR00135,Shields-Bush,Savannah,GA
2020-06-01 00:00:00,TXN00000016,A00008033,PLC00008152,2011-01-25,2020-05-12,2020-05-17,Motor,128.73,9000,A,Minor Loss,L,DC,AR,Fayetteville,57,Y,AGENT00608,Renee Zaldana,Mammoth Lakes,CA,VNDR00051,Roberts-Garcia,Louisville,KY
2020-06-01 00:00:00,TXN00000017,A00007184,PLC00000118,2014-04-17,2020-05-13,2020-05-18,Property,114.42,39000,A,Major Loss,M,CT,DC,Washington,53,Y,AGENT00911,Troy Caldwell,Medford,MA,VNDR00238,Moore Inc,Fayetteville,AR
2020-06-01 00:00:00,TXN00000018,A00007426,PLC00000165,2015-03-25,2020-05-22,2020-05-25,Property,157.18,40000,A,Major Loss,L,CO,AL,Montgomery,32,Y,AGENT00079,Rivka Robinson,Washington,DC,,,,
2020-06-01 00:00:00,TXN00000019,A00009265,PLC00000619,2017-11-03,2020-05-27,2020-05-28,Motor,116.55,8000,A,Total Loss,H,CT,MA,Fitchburg,45,Y,AGENT00994,Geraldine Lopez,Arvada,CO,VNDR00107,"Kaiser, Sanford and Lopez",Arvada,CO
2020-06-01 00:00:00,TXN00000020,A00005314,PLC00001411,2013-11-08,2020-05-17,2020-05-22,Life,77.17,68000,A,Total Loss,M,DC,CO,Arvada,59,Y,AGENT00490,Kenneth Elmer,Glendale,AZ,,,,
2020-06-01 00:00:00,TXN00000021,A00004720,PLC00003338,2015-07-10,2020-05-30,2020-05-30,Health,155.23,17000,A,Total Loss,L,VT,CO,Arvada,51,Y,AGENT00446,Christina Bock,Berkeley,CA,VNDR00215,"Mooney, Nicholson and Martinez",Annapolis,MD
2020-06-01 00:00:00,TXN00000022,A00004728,PLC00004242,2017-01-19,2020-05-26,2020-05-28,Mobile,9.15,300,A,Major Loss,L,CA,DC,Washington,51,Y,AGENT00379,Tracy Straight,Aurora,CO,,,,
2020-06-01 00:00:00,TXN00000023,A00001482,PLC00007915,2011-12-29,2020-05-28,2020-05-29,Life,81.45,80000,A,Major Loss,L,FL,CA,Woodland,44,Y,AGENT00302,Brenda Trent,Panama City,FL,VNDR00375,"Ortega, Maldonado and Carson",Panama City Beach,FL
2020-06-01 00:00:00,TXN00000024,A00001719,PLC00000786,2015-06-20,2020-05-22,2020-05-25,Property,153.04,10000,A,Total Loss,M,AK,CO,Arvada,64,N,AGENT00266,Theresa Pelfrey,Arvada,CO,VNDR00585,Solomon Ltd,Fayetteville,AR
2020-06-01 00:00:00,TXN00000025,A00000138,PLC00009960,2011-10-29,2020-05-17,2020-05-22,Property,120.31,30000,A,Minor Loss,L,GA,FL,Lynn Haven,47,Y,AGENT00947,Luis Castleman,Savannah,GA,,,,
2020-06-01 00:00:00,TXN00000026,A00001186,PLC00007391,2018-03-18,2020-05-27,2020-05-28,Property,87.09,37000,A,Minor Loss,H,MD,TN,Nashville,47,Y,AGENT00070,Sylvia Buckley,Severna Park,MD,VNDR00051,Roberts-Garcia,Louisville,KY
2020-06-01 00:00:00,TXN00000027,A00006946,PLC00009230,2011-12-30,2020-05-14,2020-05-19,Health,130.78,17000,A,Total Loss,L,CA,GA,Savannah,26,Y,AGENT00739,Jonathan Ortiz,Nashville,TN,,,,
2020-06-01 00:00:00,TXN00000028,A00004112,PLC00003274,2014-06-23,2020-05-28,2020-05-29,Health,119.4,19000,A,Minor Loss,L,AR,MA,Quincy,57,Y,AGENT01169,Tracey Banks,Panama City,FL,VNDR00310,Salinas-Ferrell,Fayetteville,AR
2020-06-01 00:00:00,TXN00000029,A00004865,PLC00007448,2016-08-29,2020-05-20,2020-05-25,Property,159.2,37000,A,Minor Loss,L,AL,MD,Pasadena,43,N,AGENT00431,Sunshine Lopez,Fall River,MA,VNDR00339,Hickman-Mendoza,Glendale,AZ
2020-06-01 00:00:00,TXN00000030,A00002422,PLC00005607,2019-06-29,2020-05-18,2020-05-23,Mobile,8.32,600,A,Major Loss,M,TN,CO,Arvada,58,Y,AGENT00546,Charles Wilson,Savannah,GA,VNDR00233,Cardenas-Mcknight,Anchorage,AK
2020-06-01 00:00:00,TXN00000031,A00003691,PLC00009902,2010-07-03,2020-05-14,2020-05-19,Health,147.7,13000,A,Major Loss,M,AZ,CO,Arvada,25,Y,AGENT00531,Tara Walling,Glen Burnie,MD,VNDR00249,"Mora, Bass and Romero",Arvada,CO
2020-06-02 00:00:00,TXN00000032,A00006915,PLC00008459,2016-01-26,2020-05-20,2020-05-25,Property,124.45,15000,A,Minor Loss,L,MD,AL,Montgomery,41,Y,AGENT01134,Joanna Bailey,Farmington,AR,,,,
2020-06-02 00:00:00,TXN00000033,A00009130,PLC00009575,2013-03-28,2020-05-26,2020-05-28,Life,51.18,27000,A,Minor Loss,M,DC,KY,Louisville,33,Y,AGENT00552,Lauren Kimble,Arvada,CO,,,,
2020-06-02 00:00:00,TXN00000034,A00001581,PLC00002330,2012-05-24,2020-05-25,2020-05-28,Mobile,8.38,100,A,Minor Loss,L,MA,CT,Manchester,64,Y,AGENT00623,William Crume,Louisville,KY,VNDR00045,Bell PLC,Anchorage,AK
2020-06-02 00:00:00,TXN00000035,A00007890,PLC00005354,2014-08-13,2020-05-17,2020-05-22,Life,95.16,74000,A,Major Loss,L,CA,KY,Louisville,26,Y,AGENT00313,Jean Cedeno,Montgomery,AL,VNDR00226,Ortega-Michael,Savannah,GA
2020-06-02 00:00:00,TXN00000036,A00003536,PLC00003499,2013-02-14,2020-05-13,2020-05-18,Life,66.73,69000,A,Minor Loss,M,CO,MD,Pasadena,30,Y,AGENT00886,Larry Miller,Panama City Beach,FL,,,,
2020-06-02 00:00:00,TXN00000037,A00008207,PLC00008260,2017-06-22,2020-05-17,2020-05-22,Mobile,8.27,300,A,Minor Loss,L,FL,FL,Panama City,57,Y,AGENT00690,Robert Ward,Louisville,KY,,,,
2020-06-02 00:00:00,TXN00000038,A00003348,PLC00009265,2018-02-28,2020-05-30,2020-05-30,Life,50.3,18000,A,Total Loss,M,CA,AL,Montgomery,30,Y,AGENT00678,Norman Brown,Glendale,AZ,,,,
2020-06-02 00:00:00,TXN00000039,A00000014,PLC00005626,2011-12-29,2020-05-21,2020-05-26,Mobile,6.59,600,A,Minor Loss,L,KY,DC,Washington,26,Y,AGENT00132,Peggy Williams,Anchorage,AK,VNDR00560,Brown Group,Arvada,CO
2020-06-02 00:00:00,TXN00000040,A00006283,PLC00008977,2010-07-27,2020-05-18,2020-05-23,Mobile,11.04,600,A,Total Loss,H,MA,CT,Manchester,62,Y,AGENT00284,Laura Carroll,Berkeley,CA,,,,
2020-06-02 00:00:00,TXN00000041,A00003499,PLC00000212,2014-07-17,2020-05-23,2020-05-26,Life,86.77,34000,A,Major Loss,L,DC,CT,Manchester,55,Y,AGENT00312,Danielle Caddell,Colchester,VT,VNDR00018,Bradley Ltd,Washington,DC
2020-06-02 00:00:00,TXN00000042,A00008902,PLC00006704,2015-07-06,2020-05-20,2020-05-25,Motor,89.11,2000,A,Minor Loss,H,VT,AK,Anchorage,62,Y,AGENT00622,Roscoe Wooden,Anchorage,AK,VNDR00560,Brown Group,Arvada,CO
2020-06-02 00:00:00,TXN00000043,A00002740,PLC00003271,2010-09-05,2020-05-18,2020-05-23,Property,140.72,35000,A,Total Loss,L,CT,AR,Farmington,57,Y,AGENT00896,Callie Lewis,Baltimore,MD,VNDR00086,"Guerrero, Norman and Baker",Dartmouth,MA
2020-06-02 00:00:00,TXN00000044,A00009289,PLC00005560,2018-07-27,2020-05-22,2020-05-27,Property,129.9,18000,A,Minor Loss,L,FL,OK,Oklahoma City,32,Y,AGENT00744,Dorothy Rodriguez,Glendale,AZ,,,,
2020-06-02 00:00:00,TXN00000045,A00007672,PLC00006003,2012-11-28,2020-05-24,2020-05-27,Life,84.99,66000,A,Minor Loss,L,AL,AL,Montgomery,39,N,AGENT00617,Michael Brim,Oklahoma City,OK,,,,
2020-06-02 00:00:00,TXN00000046,A00000956,PLC00009442,2012-10-01,2020-05-28,2020-05-29,Travel,90.04,5000,A,Minor Loss,M,AZ,AR,Farmington,51,Y,AGENT00969,Julian Holland,Panama City Beach,FL,VNDR00071,Martinez-Thomas,Mexico Beach,FL
2020-06-02 00:00:00,TXN00000047,A00000134,PLC00002112,2010-12-09,2020-05-26,2020-05-28,Motor,117.72,7000,D,Major Loss,L,CA,CO,Arvada,31,Y,AGENT00642,Toni Singh,Manchester,CT,,,,
2020-06-02 00:00:00,TXN00000048,A00006528,PLC00006887,2017-07-28,2020-05-31,2020-05-31,Property,109.74,15000,D,Minor Loss,L,VT,VT,Richmond,31,Y,AGENT00845,Josephine Kraemer,Panama City,FL,VNDR00009,"Flores, Haas and Fox",Arvada,CO
2020-06-02 00:00:00,TXN00000049,A00008607,PLC00003012,2018-09-09,2020-05-29,2020-05-30,Mobile,9.05,300,A,Major Loss,M,KY,DC,Washington,56,Y,AGENT00580,John Hassan,Anchorage,AK,,,,
2020-06-02 00:00:00,TXN00000050,A00004589,PLC00003093,2016-05-07,2020-05-23,2020-05-26,Motor,116.99,10000,A,Minor Loss,M,AZ,AZ,Glendale,51,Y,AGENT00697,Judy Hall,Louisville,KY,VNDR00488,Walker-Ingram,Fremont,CA
2020-06-02 00:00:00,TXN00000051,A00002074,PLC00003805,2015-03-15,2020-05-13,2020-05-18,Mobile,11.04,400,A,Total Loss,H,KY,VT,Greensboro,49,N,AGENT00780,Yvonne Coomer,Washington,DC,,,,
2020-06-02 00:00:00,TXN00000052,A00000481,PLC00001551,2017-04-07,2020-05-15,2020-05-20,Mobile,6.63,600,A,Total Loss,L,VT,AL,Montgomery,64,Y,AGENT01183,Elisa Guerrero,Swanton,VT,VNDR00277,Baker and Sons,Savannah,GA
2020-06-02 00:00:00,TXN00000053,A00009041,PLC00009146,2013-05-27,2020-05-29,2020-05-30,Motor,82.82,9000,A,Major Loss,L,OK,AK,Anchorage,43,Y,AGENT00293,Judy Drinkwater,Arvada,CO,VNDR00025,Wright Group,Fayetteville,AR
2020-06-02 00:00:00,TXN00000054,A00000859,PLC00008827,2017-09-05,2020-05-27,2020-05-29,Property,104.05,16000,A,Minor Loss,L,OK,GA,Savannah,41,N,AGENT01049,Jazmin Lewison,Fayetteville,AR,VNDR00448,Jackson and Sons,Savannah,GA
2020-06-02 00:00:00,TXN00000055,A00000583,PLC00005283,2011-06-29,2020-05-20,2020-05-25,Property,137.02,19000,A,Total Loss,M,AL,MD,Glen Burnie,46,Y,AGENT00046,William Ramos,Hayward,CA,VNDR00445,"Bass, Garcia and Garcia",Arvada,CO
2020-06-02 00:00:00,TXN00000056,A00004719,PLC00002737,2015-04-01,2020-05-16,2020-05-21,Travel,75.99,3000,A,Total Loss,L,VT,MA,Waltham,64,Y,AGENT00224,Evelyn Ortiz,Arvada,CO,VNDR00498,Smith-Clark,Edmond,OK
2020-06-02 00:00:00,TXN00000057,A00002089,PLC00009114,2010-07-02,2020-05-19,2020-05-24,Motor,92.71,2000,A,Total Loss,H,MD,CA,Jackson,47,Y,AGENT00410,Ken Tantillo,Severna Park,MD,VNDR00358,Hernandez PLC,Fayetteville,AR
2020-06-02 00:00:00,TXN00000058,A00004245,PLC00001839,2019-11-18,2020-05-29,2020-05-30,Property,111.33,30000,A,Total Loss,L,AR,AK,Anchorage,36,Y,AGENT00515,Janelle Hill,Fayetteville,AR,VNDR00164,Perkins Group,Mountain View,CA
2020-06-02 00:00:00,TXN00000059,A00009116,PLC00007965,2019-06-25,2020-05-21,2020-05-26,Mobile,8.51,300,A,Major Loss,L,VT,OK,Oklahoma City,48,Y,AGENT00824,Roger Ewing,Montgomery,AL,VNDR00083,"Kennedy, Benjamin and Young",Montgomery,AL
2020-06-02 00:00:00,TXN00000060,A00003178,PLC00003361,2019-08-30,2020-05-19,2020-05-24,Travel,97.08,2000,A,Total Loss,L,GA,KY,Louisville,56,Y,AGENT00288,Michael Fowler,Guthrie,OK,,,,
2020-06-02 00:00:00,TXN00000061,A00005466,PLC00000652,2010-08-27,2020-05-19,2020-05-24,Property,155.05,16000,A,Minor Loss,L,AL,VT,Fairfax,32,Y,AGENT00308,Ernesto Brown,Fayetteville,AR,VNDR00457,Kramer and Sons,Glendale,AZ
2020-06-02 00:00:00,TXN00000062,A00007369,PLC00001585,2018-07-19,2020-05-21,2020-05-26,Property,124.97,35000,A,Total Loss,H,DC,OK,Oklahoma City,42,Y,AGENT01028,Andrea Castilla,Montgomery,AL,VNDR00383,"Dawson, Taylor and Chavez",Norwood,MA
2020-06-02 00:00:00,TXN00000063,A00002702,PLC00003400,2017-05-21,2020-05-24,2020-05-27,Property,151.81,15000,A,Minor Loss,L,FL,AZ,Glendale,53,N,AGENT00111,Philip Mabrey,Fayetteville,AR,VNDR00010,Mcclure Ltd,Pasadena,MD
2020-06-02 00:00:00,TXN00000064,A00006128,PLC00000459,2014-10-27,2020-06-01,2020-06-01,Property,121.54,31000,A,Major Loss,L,TN,MD,Annapolis,40,Y,AGENT00697,Judy Hall,Louisville,KY,VNDR00269,Davies LLC,Nashville,TN
2020-06-02 00:00:00,TXN00000065,A00001291,PLC00004134,2015-09-10,2020-05-31,2020-05-31,Travel,77.47,3000,D,Total Loss,M,CA,MD,Millersville,39,Y,AGENT00018,Rita Allaire,Montgomery,AL,VNDR00314,Clarke Ltd,Hanover,MD
2020-06-02 00:00:00,TXN00000066,A00000261,PLC00006979,2011-02-17,2020-05-26,2020-05-28,Life,67.55,96000,A,Major Loss,M,VT,CT,Manchester,28,Y,AGENT00612,Susan Mincey,Louisville,KY,,,,
2020-06-02 00:00:00,TXN00000067,A00008288,PLC00000241,2018-03-25,2020-05-15,2020-05-20,Travel,98.49,2000,A,Total Loss,L,MD,AK,Anchorage,37,Y,AGENT00141,Mike Cress,,VT,VNDR00383,"Dawson, Taylor and Chavez",Norwood,MA
2020-06-03 00:00:00,TXN00000068,A00009904,PLC00004191,2014-11-03,2020-06-02,2020-06-02,Mobile,11.21,400,A,Total Loss,M,KY,CT,Manchester,53,Y,AGENT00572,Harriett Williamson,Manchester,CT,,,,
2020-06-03 00:00:00,TXN00000069,A00007027,PLC00008450,2011-02-09,2020-05-28,2020-05-30,Health,156.2,3000,A,Total Loss,L,TN,CA,Oakland,36,N,AGENT00565,Jonathan Onusko,Annapolis,MD,VNDR00239,Brooks-Bowen,Oklahoma City,OK
2020-06-03 00:00:00,TXN00000070,A00003818,PLC00008734,2019-09-23,2020-05-23,2020-05-28,Mobile,7.23,100,A,Major Loss,M,OK,AR,Fayetteville,47,Y,AGENT00603,Eleanor Timko,Severn,MD,,,,
2020-06-03 00:00:00,TXN00000071,A00005168,PLC00000010,2019-01-30,2020-05-24,2020-05-27,Mobile,11.63,400,A,Total Loss,M,MD,AK,Anchorage,33,Y,AGENT01107,Greg Mclaughlin,Louisville,KY,VNDR00033,Hooper-Garrett,Louisville,KY
2020-06-03 00:00:00,TXN00000072,A00007705,PLC00009039,2013-01-09,2020-05-30,2020-05-31,Travel,74.36,5000,A,Total Loss,L,GA,CO,Arvada,56,Y,AGENT00615,Kira Bilodeau,Arvada,CO,VNDR00407,"Wilson, Acosta and Chapman",Savannah,GA
2020-06-03 00:00:00,TXN00000073,A00000877,PLC00008900,2015-06-24,2020-05-21,2020-05-26,Life,76.97,99000,A,Minor Loss,L,AR,FL,Panama City Beach,52,Y,AGENT00309,Lee Nieland,Annapolis,MD,,,,
2020-06-03 00:00:00,TXN00000074,A00006847,PLC00009501,2016-10-14,2020-06-01,2020-06-01,Mobile,6.15,300,A,Total Loss,M,CO,AL,Montgomery,60,Y,AGENT00315,Jean Mcdonald,Nashville,TN,VNDR00056,"Russell, Mills and Calderon",Annapolis,MD
2020-06-03 00:00:00,TXN00000075,A00005205,PLC00009466,2018-10-29,2020-05-14,2020-05-19,Life,78.34,52000,A,Minor Loss,L,TN,CO,Telluride,60,Y,AGENT00561,Julia Constant,Savannah,GA,,,,
2020-06-03 00:00:00,TXN00000076,A00009078,PLC00001505,2014-08-15,2020-05-17,2020-05-22,Life,67.88,59000,A,Major Loss,H,GA,CO,Wheat Ridge,50,Y,AGENT00935,Adam Villar,Litchfield Park,AZ,VNDR00521,"Gordon, Young and Webster",Manchester,CT
2020-06-03 00:00:00,TXN00000077,A00000804,PLC00006719,2011-07-09,2020-05-14,2020-05-19,Life,68.72,60000,A,Major Loss,H,TN,CA,Livermore,32,Y,AGENT00210,Susan Morace,Washington,DC,VNDR00488,Walker-Ingram,Fremont,CA
2020-06-03 00:00:00,TXN00000078,A00004234,PLC00005127,2017-06-05,2020-05-27,2020-05-29,Life,86.31,39000,A,Major Loss,M,CA,AR,Fayetteville,42,Y,AGENT00283,Stefani Good,Glendale,AZ,,,,
2020-06-03 00:00:00,TXN00000079,A00002003,PLC00004274,2013-08-26,2020-05-22,2020-05-27,Motor,100.14,7000,A,Major Loss,L,MA,CA,Oakland,33,Y,AGENT00094,Claudia Lennon,Crofton,MD,,,,
2020-06-03 00:00:00,TXN00000080,A00000193,PLC00000742,2018-07-28,2020-06-02,2020-06-02,Travel,81.79,4000,A,Major Loss,M,CO,AR,Fayetteville,63,N,AGENT00680,Martha Hanni,Manchester,CT,,,,
2020-06-03 00:00:00,TXN00000081,A00009864,PLC00003666,2011-11-05,2020-05-24,2020-05-27,Life,88.05,79000,A,Minor Loss,M,OK,GA,Savannah,36,Y,AGENT00319,Frances Kimble,Hayward,CA,,,,
2020-06-03 00:00:00,TXN00000082,A00003565,PLC00003125,2013-11-12,2020-05-18,2020-05-23,Travel,89.36,2000,A,Major Loss,L,CT,GA,Savannah,36,Y,AGENT00630,Myrtle Mackie,Middleton,MA,VNDR00287,Thompson Inc,Nashville,TN
2020-06-03 00:00:00,TXN00000083,A00006009,PLC00000069,2016-02-05,2020-05-31,2020-05-31,Life,95.04,14000,A,Minor Loss,L,MD,AK,Anchorage,35,Y,AGENT00559,Walter Hardesty,Bakersfield,CA,VNDR00466,Wood Group,Annapolis,MD
2020-06-03 00:00:00,TXN00000084,A00000670,PLC00003987,2017-06-01,2020-05-30,2020-05-31,Mobile,11.57,100,A,Minor Loss,L,TN,FL,Panama City,44,Y,AGENT00771,Roger Burns,Oklahoma City,OK,,,,
2020-06-03 00:00:00,TXN00000085,A00002691,PLC00000988,2016-11-25,2020-05-14,2020-05-19,Motor,109.33,6000,A,Total Loss,L,AR,FL,Youngstown,50,Y,AGENT00304,Andrea Storey,Union City,CA,VNDR00077,Bartlett-Winters,Savannah,GA
2020-06-03 00:00:00,TXN00000086,A00007463,PLC00005994,2014-07-13,2020-05-28,2020-05-30,Motor,126.63,1000,A,Major Loss,L,TN,CO,Arvada,34,Y,AGENT00167,William Wiggins,Fresno,CA,VNDR00541,Robinson-Hernandez,Louisville,KY
2020-06-03 00:00:00,TXN00000087,A00007262,PLC00009746,2011-08-29,2020-05-30,2020-05-31,Life,77.65,78000,A,Major Loss,M,FL,CA,Hesperia,25,Y,AGENT00792,Beatrice Pontius,Savannah,GA,VNDR00588,Jenkins Group,Tybee Island,GA
2020-06-03 00:00:00,TXN00000088,A00009910,PLC00005185,2011-01-31,2020-05-21,2020-05-26,Motor,82.0,10000,A,Minor Loss,L,CO,FL,Lynn Haven,61,Y,AGENT00001,Ray Johns,Waterbury Center,VT,VNDR00394,Hart PLC,Santa Rosa,CA
2020-06-03 00:00:00,TXN00000089,A00005802,PLC00001608,2017-04-25,2020-05-31,2020-05-31,Health,102.63,9000,A,Major Loss,L,CA,MA,Lowell,63,Y,AGENT00955,Bryan Dondero,,VT,,,,
2020-06-03 00:00:00,TXN00000090,A00006267,PLC00000932,2017-08-07,2020-05-27,2020-05-29,Health,199.63,16000,A,Major Loss,L,AZ,FL,Panama City,26,Y,AGENT00428,Donita Taylor,Montgomery,AL,,,,
2020-06-04 00:00:00,TXN00000091,A00002978,PLC00006683,2017-04-10,2020-05-20,2020-05-25,Travel,62.02,1000,A,Minor Loss,L,CT,OK,Oklahoma City,45,Y,AGENT01136,Melissa Dolecki,Nashville,TN,VNDR00086,"Guerrero, Norman and Baker",Dartmouth,MA
2020-06-04 00:00:00,TXN00000092,A00009572,PLC00006462,2019-01-16,2020-05-15,2020-05-20,Health,153.52,19000,A,Minor Loss,L,KY,TN,Nashville,28,Y,AGENT00573,Diane Burge,Yarmouth,MA,VNDR00532,"Duffy, Martinez and Jones",Glendale,AZ
2020-06-04 00:00:00,TXN00000093,A00007477,PLC00008821,2015-06-05,2020-05-23,2020-05-28,Health,116.27,7000,A,Major Loss,H,VT,CA,Oakland,60,Y,AGENT00474,Antoinette Rehkop,Piedmont,CA,VNDR00251,Sanchez LLC,Manchester,CT
2020-06-04 00:00:00,TXN00000094,A00009513,PLC00001274,2016-05-29,2020-05-30,2020-05-31,Travel,72.52,1000,A,Total Loss,L,OK,OK,Moore,47,Y,AGENT00908,Robert Dargan,Grass Valley,CA,,,,
2020-06-04 00:00:00,TXN00000095,A00009706,PLC00004892,2017-08-12,2020-05-31,2020-06-01,Life,83.23,95000,A,Major Loss,M,AL,MD,Davidsonville,55,Y,AGENT00254,Freda Dudley,Savannah,GA,VNDR00508,"Conway, Meyer and White",Anchorage,AK
2020-06-04 00:00:00,TXN00000096,A00006240,PLC00007252,2014-07-01,2020-05-26,2020-05-29,Motor,116.8,9000,A,Total Loss,L,DC,AK,Anchorage,55,Y,AGENT00482,Jose Dame,El Cerrito,CA,,,,
2020-06-04 00:00:00,TXN00000097,A00000327,PLC00000801,2014-07-31,2020-05-31,2020-06-01,Life,82.05,15000,A,Total Loss,M,DC,DC,Washington,35,Y,AGENT00397,Humberto Tanguay,Medford,MA,,,,
2020-06-04 00:00:00,TXN00000098,A00000762,PLC00000840,2017-02-26,2020-05-25,2020-05-28,Life,75.6,41000,A,Total Loss,M,TN,FL,Panama City,45,Y,AGENT00786,Victor Perrin,Louisville,KY,,,,
2020-06-04 00:00:00,TXN00000099,A00008559,PLC00009832,2015-10-27,2020-05-26,2020-05-29,Mobile,9.14,300,A,Minor Loss,M,AZ,GA,Savannah,49,Y,AGENT00943,Jessica Perkins,Panama City Beach,FL,VNDR00597,Ortiz-Donovan,Fayetteville,AR
2020-06-04 00:00:00,TXN00000100,A00007283,PLC00001227,2014-09-25,2020-05-30,2020-05-31,Mobile,11.34,200,A,Major Loss,H,AK,CA,Cupertino,60,Y,AGENT00011,Nancy Coronado,Washington,DC,,,,
2020-06-04 00:00:00,TXN00000101,A00007243,PLC00001199,2016-01-15,2020-05-16,2020-05-21,Property,89.76,31000,A,Major Loss,M,GA,AZ,Glendale,37,Y,AGENT00007,Michael Hoskins,Glendale,AZ,VNDR00057,Mckinney-Riley,Washington,DC
